修正・追記	Gene	別名	該当する造血器疾患	臨床的有用性	遺伝子変異の機能的意義とその種類	関連する染色体構造変化	Fast-track 対象遺伝子異常	エビデンスレベル＿診断	根拠となる論文、学会指針、臨床試験	エビデンスレベル＿治療法選択	根拠となる論文、学会指針、臨床試験	エビデンスレベル＿予後予測	根拠となる論文、学会指針、臨床試験	遺伝子異常と関連して、当該疾患に対して薬事　承認された薬剤	遺伝子異常と関連して、当該疾患に対してFDA　承認された薬剤	遺伝子異常と関連して、他の腫瘍に対して薬事　承認された薬剤	遺伝子異常と関連して、他の腫瘍に対してFDA　承認された薬剤	その他コメント
	ABL1		AML with BCR-ABL1	1	機能獲得（融合：BCR/ABL1）	t(9;22)(q34;q11)		A	WHO2017, ELN2017	C	PMID: 12476305	A	WHO2017			Imatinib, Dasatinib, Nilotinib, Bosutinib, Ponatinib		
	ABL1		B-ALL/LBLL BCR-ABL1-like	1	機能獲得（融合：NUP214/ABL1, RANBP2/ABL1, ETV6/ABL1, ZMIZ1/ABL1, RCSD1/ABL1, LSM14A-ABL1など）	t(9;9)(q34;q34), t(2;9)(q12;q34), t(9;10)(q34;q22), t(1;9)(q24;q34)		A	WHO2017, PMID: 25207766, 30181314, 31935290	C	NCT01406756, NCT02883049, NCT03117751, PMID: 31434701	A	NCCN2020 (Pediatric ALL)			Dasatinib		
	ABL1		B-ALL/LBLL with t(9;22)(q34.1;q11.2); BCR-ABL1	1	機能獲得（融合：BCR/ABL1）	t(9;22)(q34;q11)		A	WHO2017	A	NCCN2020, JSH-GL, ELN2017	A	NCCN2019, NCCN2020 (Pediatric ALL)					
	ABL1		CML, BCR-ABL1+	1	機能獲得（融合：BCR/ABL1）	t(9;22)(q34;q11)		A	NCCN2020, JSH-GL, ELN2017	A	NCCN2020, JSH-GL, ELN2017	A	NCCN2020, JSH-GL, ELN2017 (for MRD evaluation)	Imatinib, Dasatinib, Nilotinib, Bosutinib, Ponatinib	Imatinib, Dasatinib, Nilotinib, Bosutinib, Ponatinib			
	ABL1		MPAL with t(9;22)(q34.1;q11.2); BCR-ABL1	1	機能獲得（融合：BCR/ABL1）	t(9;22)(q34;q11)		A	WHO2017	A	NCCN2019			Imatinib, Dasatinib, Ponatinib	Imatinib, Dasatinib, Ponatinib	Imatinib, Dasatinib, Nilotinib, Bosutinib, Ponatinib	Imatinib, Dasatinib, Nilotinib, Bosutinib, Ponatinib	
	ABL2		B-ALL/LBLL BCR-ABL1-like	1	機能獲得（融合：RCSD1/ABL2, ZC3HAV1/ABL2, PAG1/ABL2など）	t(1;1)(q24;q25), t(1;7)(q25;q34)		A	WHO2017, PMID: 25207766, 30181314, 31935290	C	NCT01406756, NCT02883049, NCT03117751, PMID: 31434701	A	NCCN2020 (Pediatric ALL)					
	AFF1	AF4	B-ALL/LBLL with t(v;11q23.3); KMT2A rearranged	1	機能獲得（融合：KMT2A/AFF1）	t(4;11)(q21;q23)		A	WHO2017			A	NCCN2019					 
	ALK		ALCL (ALK+)	1	機能獲得（融合：NPM1/ALK, TPM3/ALKなど）	t(2;5)(p23;q35), t(1;2)(q25;p23)など		A	WHO2017, NCCN2019							Crizotinib, Ceritinib, Alectinib	Crizotinib, Ceritinib, Alectinib, Brigatinib	ALKの変異により、一部のALK阻害剤に対する耐性を獲得する可能性がある。
	ALK		C-ALCL	1	機能獲得（融合：NPM1/ALK）	t(2;5)(p23;q35)		A	WHO2017, NCCN2019							Crizotinib, Ceritinib, Alectinib	Crizotinib, Ceritinib, Alectinib, Brigatinib	
	ALK		LBCL (ALK+)	1	機能獲得（融合：CLTC/ALK, NPM1/ALK, SQSTM1/ALK, SEC31A/ALK）	t(2;17)(p23;q23), t(2;5)(p23;q35)		A	WHO2017							Crizotinib, Ceritinib, Alectinib	Crizotinib, Ceritinib, Alectinib, Brigatinib	
	ATG5		ENKTL	1	機能喪失	del(6q21)		A	WHO2017, PMID: 19194464									コピー数異常をきたす領域に存在するが、当該遺伝子の欠失と病的意義との直接的な関連は明らかでない。
